ID RA Dec SN Vhel Vhel_err CaT_EW CaT_EW_err Mg_EW Mg_EW_err GoodstarProb MembershipProb MembershipProb_em MembershipProb_ep Member
Leo4_1015 173.2598333 -0.5659722 4.02 -1.4 10.3 5.49 1.06 0.21 0.25 0.996 nan nan nan -1
Leo4_1055 173.2615 -0.5755278 8.92 126.0 4.0 2.07 0.86 -0.23 0.12 0.999 0.991 0.007 0.004 -1
Leo4_1178 173.2639583 -0.7231667 5.2 241.0 8.2 1.83 0.4 0.4 0.19 0.996 0.0 0.0 0.0 -1
Leo4_1184 173.2661667 -0.7304444 8.83 125.5 4.0 1.74 0.2 -0.1 0.13 0.999 0.545 0.336 0.236 -1
Leo4_1136 173.2674167 -0.6896667 17.94 84.8 2.3 4.72 0.45 0.24 0.06 0.961 0.0 0.0 0.0 -1
Leo4_1050 173.2699583 -0.5594444 17.83 132.2 1.8 2.58 0.29 0.22 0.06 0.978 1.0 0.0 0.0 1
Leo4_1063 173.2703333 -0.58925 33.16 354.7 1.3 2.55 0.18 0.21 0.03 0.999 0.0 0.0 0.0 -1
Leo4_1081 173.2802083 -0.61925 7.5 206.4 7.0 2.18 0.45 -0.03 0.14 0.933 0.0 0.0 0.0 -1
Leo4_1065 173.2850417 -0.5847222 9.19 132.0 3.2 2.24 0.61 0.03 0.12 0.999 0.993 0.007 0.004 1
Leo4_1006 173.2895833 -0.5043611 61.45 128.5 0.9 2.74 0.2 0.04 0.02 0.999 1.0 0.0 0.0 1
Leo4_1077 173.2912917 -0.6049444 9.79 128.3 3.9 2.99 1.46 -0.09 0.11 0.999 0.902 0.053 0.035 1
Leo4_1019 173.2924167 -0.5431667 4.66 -8.6 13.2 5.15 0.88 0.3 0.23 0.97 nan nan nan -1
Leo4_1066 173.3025833 -0.5202222 5.12 -21.2 8.5 4.14 0.72 0.61 0.2 0.891 0.0 0.0 0.0 -1
Leo4_1069 173.3079583 -0.56075 12.17 120.0 2.8 3.06 0.51 0.14 0.09 0.999 0.217 0.181 0.423 1
Leo4_1085 173.31025 -0.5975833 10.17 135.3 3.2 3.94 1.41 -0.01 0.11 0.999 0.757 0.122 0.084 1
Leo4_1073 173.3136667 -0.5138056 10.81 254.7 4.2 4.05 1.35 0.69 0.09 0.999 0.0 0.0 0.0 -1
Leo4_1138 173.3149583 -0.6721389 5.33 -30.5 40.1 2.53 0.6 0.02 0.2 0.84 nan nan nan -1
Leo4_1090 173.3165 -0.6120556 50.96 83.1 1.0 5.34 0.16 0.58 0.02 0.999 0.0 0.0 0.0 -1
Leo4_1082 173.3175 -0.583 5.2 85.2 11.5 6.08 0.74 0.25 0.21 0.946 nan nan nan -1
Leo4_1020 173.325125 -0.5531944 4.29 -19.8 8.6 3.71 0.66 0.95 0.23 0.988 0.0 0.0 0.0 -1
Leo4_1022 173.3318333 -0.578 4.44 -18.4 6.9 4.06 0.47 0.85 0.22 0.993 0.0 0.0 0.0 -1
Leo4_1146 173.333375 -0.66875 141.04 93.1 0.7 6.64 0.06 0.84 0.01 0.997 0.0 0.0 0.0 -1
Leo4_1010 173.3354583 -0.5604167 41.39 136.4 1.2 5.45 0.22 0.45 0.03 0.979 0.0 0.0 0.0 -1
Leo4_1181 173.3355417 -0.7022222 4.97 -122.5 46.0 3.83 0.25 0.07 0.2 0.822 nan nan nan -1
Leo4_1100 173.336125 -0.618 18.26 2.0 2.0 4.59 0.55 0.16 0.06 0.999 0.0 0.0 0.0 -1
Leo4_1204 173.3437917 -0.7267222 7.06 121.5 5.2 4.24 0.64 0.34 0.15 0.998 0.012 0.011 0.017 -1
Leo4_1098 173.346375 -0.59525 9.92 271.0 5.0 3.31 0.54 0.07 0.1 0.998 0.0 0.0 0.0 -1
Leo4_1023 173.3464583 -0.5589167 5.0 -36.6 19.6 0.33 0.14 0.38 0.16 0.895 nan nan nan -1
Leo4_1091 173.3467917 -0.5503611 7.74 210.4 4.7 4.76 0.51 0.39 0.13 0.999 0.0 0.0 0.0 -1
Leo4_1092 173.3487083 -0.5294444 5.63 92.3 8.0 6.01 0.85 0.43 0.2 0.997 0.0 0.0 0.0 -1
Leo4_1093 173.3514583 -0.5344722 8.74 -77.6 12.3 0.68 0.22 -0.15 0.12 0.779 nan nan nan -1
Leo4_1034 173.3545417 -0.7158056 4.2 -20.3 9.0 4.18 0.9 0.11 0.24 0.996 0.0 0.0 0.0 -1
Leo4_1097 173.3579167 -0.5353889 30.41 44.7 1.6 4.99 0.23 0.29 0.04 0.999 0.0 0.0 0.0 -1
Leo4_1103 173.3597083 -0.5728333 4.71 -16.4 10.1 2.66 0.4 0.18 0.22 0.995 nan nan nan -1
Leo4_1104 173.3625417 -0.5164444 12.17 117.4 3.8 6.48 0.79 0.32 0.09 0.999 0.0 0.0 0.001 -1
Leo4_1119 173.3743333 -0.5656944 9.66 -6.2 5.6 6.05 0.27 0.49 0.11 0.994 0.0 0.0 0.0 -1
Leo4_1161 173.3805417 -0.63225 4.85 -17.0 8.8 2.68 0.44 0.45 0.21 0.997 0.0 0.0 0.0 -1
Leo4_1033 173.3822083 -0.6907778 3.99 -20.0 12.5 8.54 0.85 0.33 0.26 0.944 nan nan nan -1
Leo4_1029 173.383125 -0.6607222 12.61 -800.4 8.6 11.43 1.58 -0.1 0.09 0.782 nan nan nan -1
